"word","topic_index","weight"
"tíos",47,0.009472925170511553
"creí",32,0.00945464598014447
"intenté",44,0.009450527872562847
"infeliz",19,0.009423979510225645
"científica",37,0.009404574289270417
"muere",1,0.009400623601150189
"acero",35,0.009359428113473758
"hombro",10,0.009350597235021763
"detuve",44,0.009293050799166131
"hacían",8,0.009196454872861755
"barcelona",13,0.009172229605353155
"defensiva",15,0.009166977908793289
"ah",36,0.009152333377309745
"quemado",8,0.009100912816735371
"vete",36,0.00908467936219612
"luisa",45,0.009005271653345278
"antonia",45,0.009005271653345278
"cuerpo",11,0.00897020890288265
"gil",16,0.008944768318373418
"hombres",38,0.008932960764878078
"divino",9,0.00885326935407929
"chicas",19,0.008822214690899707
"piel",7,0.008741773460056102
"españolas",4,0.008733182778544069
"infantería",0,0.008691403996688963
"espantados",7,0.008675627649565554
"millones",37,0.008628669868220262
"absolutamente",32,0.008594729062812606
"tránsito",16,0.008544055253075673
"rio",20,0.008467329876180927
"figúrate",43,0.008388963933536168
"pupila",7,0.008340466711864695
"encendido",7,0.008263884402836411
"desastrosa",37,0.008243011058207168
"sensible",35,0.008239794872013664
"derecha",10,0.008226152570123409
"protegerá",9,0.008194685197731916
"arte",37,0.008082813696387055
"señora",45,0.008062185059248024
"sentaos",25,0.008042672681097972
"hablarla",47,0.008020126888139235
"bendición",9,0.007974272673908041
"despreciarás",36,0.00795396497799314
"ceja",7,0.007863737902875473
"vas",36,0.0077126640242217446
"presentación",45,0.007695624519885245
"1873",13,0.007625966422199609
"marchado",34,0.007623492234637572
"dijo",20,0.007476724310168358
"hola",47,0.007423591738341181
"impaciencia",47,0.007401159797005439
"viva",4,0.007380586571796589
"josef",23,0.007329763415209445
"napoleónico",23,0.007329763415209445
"pausa",34,0.0073244455358156945
"repuso",20,0.007283159317452189
"emperador",23,0.007211816031034743
"flora",22,0.0071352722392051685
"amiga",20,0.0071323132741072885
"aquella",6,0.0070715379390293934
"marchó",34,0.007062096719641058
"escoceses",25,0.007049318534648349
"escocés",25,0.007049318534648349
"tarde",14,0.0069730791500103575
"media",14,0.006971399826364686
"irá",36,0.006969888083516712
"místicos",11,0.00689693664903095
"anocheció",14,0.006889318475702204
"horrenda",14,0.006822823267824364
"admira",36,0.00666393857452456
"varonil",11,0.006631949384254629
"alojamiento",6,0.006591363730790806
"místico",11,0.006584997076869494
"recibirle",20,0.006509152986390364
"fascina",20,0.006509152986390364
"contrariada",20,0.006509152986390364
"división",4,0.006424163211897484
"abandonará",22,0.006328361497371875
"santo",9,0.006305773791520559
"ves",36,0.006233445023221677
"haces",36,0.00622758788940407
"adonde",13,0.006195223200042752
"rey",4,0.00617071263417765
"contestó",47,0.0061647109888494835
"afirmó",34,0.006123813141021044
"matado",0,0.006063170244902795
"resolvime",47,0.005979863685935336
"confirmaron",47,0.005979863685935336
"reconocía",11,0.005930295892146187
"sorna",34,0.005927646115266119
"salir",13,0.005817814268592649
"estruendo",6,0.005759751922414902
"caminos",9,0.005608374733231794
"nadar",22,0.005546742701866162
"asunción",22,0.005492778026432967
"juntó",22,0.005295870664995572
"inmediatas",6,0.0049123105961063375
"levántate",22,0.004769338495271008
"jovialmente",22,0.004769338495271008
"detenerse",6,0.004315892496062615
"vecinos",6,0.004252122530096116
"tertulias",6,0.004187238817681193
"parís",0,0.004178711827017366
"llevan",0,0.0034626591336208816
"destacamento",0,0.0033514666117593988
